CM Old,9.5,6,0,36,3,3.78,India,The Oval,Mon Jul 15 00:00:00 BST 1974
RD Jackman,11.0,6,1,41,3,3.72,India,The Oval,Mon Jul 15 00:00:00 BST 1974
DL Underwood,11.0,6,0,36,1,3.27,India,The Oval,Mon Jul 15 00:00:00 BST 1974
AW Greig,9.0,6,0,27,2,3.0,India,The Oval,Mon Jul 15 00:00:00 BST 1974
S Abid Ali,11.0,6,3,21,1,1.9,England,The Oval,Mon Jul 15 00:00:00 BST 1974
ED Solkar,11.0,6,3,37,0,3.36,England,The Oval,Mon Jul 15 00:00:00 BST 1974
S Madan Lal,10.0,6,0,23,1,2.3,England,The Oval,Mon Jul 15 00:00:00 BST 1974
GK Bose,11.0,6,2,39,1,3.54,England,The Oval,Mon Jul 15 00:00:00 BST 1974
AV Mankad,5.833333333333333,6,0,47,1,8.05,England,The Oval,Mon Jul 15 00:00:00 BST 1974
Asif Masood,10.0,6,2,31,0,3.1,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
Sarfraz Nawaz,10.0,6,0,46,1,4.6,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
Asif Iqbal,10.0,6,1,40,1,4.0,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
Imran Khan,10.0,6,0,36,0,3.6,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
Intikhab Alam,7.0,6,0,58,1,8.28,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
Majid Khan,3.0,6,0,15,1,5.0,England,Nottingham,Sat Aug 31 00:00:00 BST 1974
RGD Willis,10.0,6,2,34,1,3.4,Pakistan,Nottingham,Sat Aug 31 00:00:00 BST 1974
P Lever,10.0,6,0,58,1,5.8,Pakistan,Nottingham,Sat Aug 31 00:00:00 BST 1974
CM Old,10.0,6,0,65,0,6.5,Pakistan,Nottingham,Sat Aug 31 00:00:00 BST 1974
DL Underwood,8.0,6,1,32,1,4.0,Pakistan,Nottingham,Sat Aug 31 00:00:00 BST 1974
AW Greig,4.833333333333333,6,0,40,0,8.27,Pakistan,Nottingham,Sat Aug 31 00:00:00 BST 1974
Asif Masood,7.0,6,2,9,2,1.28,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
Sarfraz Nawaz,7.0,6,0,15,2,2.14,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
Imran Khan,7.0,6,2,16,2,2.28,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
Asif Iqbal,7.0,6,1,17,2,2.42,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
Intikhab Alam,6.0,6,1,12,0,2.0,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
